sensor_index,name,location_type,latitude,longitude,humidity,temperature,pm2.5_atm,pm2.5_cf_1
26385,ROCIS_j8p5_O,0,40.298096,-79.88476,49,91,,
28839,New England 01,0,40.338493,-79.93272,38,100,18.2,18.2
28905,Glassport 01,0,40.334515,-79.889915,48,95,16.1,16.1
41739,JA_Airviz,0,40.337513,-79.83398,41,98,15.1,15.1
93221,PET 256 Lexington Drive,0,40.290955,-79.80386,46,92,20.2,20.2
107224,ROCIS_i8i5_I2,1,40.291203,-79.803696,14,83,1.6,1.6
144508,toby,0,40.259506,-79.94012,46,97,21.5,21.5
160665,Hunter,0,40.2695,-79.94523,47,92,0.0,0.0
167011,CACClairton01,0,40.294224,-79.87907,46,98,3328.8,4993.9
235937,PSR PA FN01,0,40.257923,-79.94264,30,106,18.2,18.2
245555,PSR PA FN02,0,40.257927,-79.94264,38,99,18.7,18.7
247355,PET 08,0,40.281242,-79.90179,46,92,25.1,25.1
247373,PET 11,0,40.259407,-79.93118,48,93,23.1,23.1
247391,PET12,0,40.30802,-79.88858,45,94,22.6,22.6
247389,PET01,0,40.291454,-79.80338,39,98,18.7,18.7
247395,PET 05,0,40.273968,-79.88524,59,83,30.8,31.7
247393,PET 06,0,40.29001,-79.883286,48,92,23.5,23.5
247759,VCAN 11,0,40.340523,-79.86917,48,90,25.1,25.1
247757,VCAN 06,0,40.328056,-79.883606,41,97,23.7,23.7
247767,PET 10,0,40.261486,-79.85849,37,99,26.6,26.9
247765,VCAN 08,0,40.28402,-79.85133,38,100,21.2,21.2
247775,PET 03,0,40.2717,-79.897156,41,96,32.0,34.0
247773,PET 09,0,40.313225,-79.82292,34,103,21.3,21.3
247781,PET02,0,40.262245,-79.89769,42,96,21.5,21.5
247785,VCAN 07,0,40.34348,-79.85597,41,95,27.7,27.9
247809,VCAN 03,0,40.33855,-79.91979,41,96,23.5,23.5
247815,VCAN 04,0,40.318085,-79.8901,35,104,19.4,19.4
247825,VCAN 02,0,40.324688,-79.85688,43,95,25.0,25.0
247959,VCAN 05,0,40.295067,-79.8929,44,93,20.7,20.7
247961,PET 07,0,40.259605,-79.886406,51,91,24.9,24.9
247975,VCAN 10,0,40.322716,-79.89277,41,95,22.2,22.2
